q2_2020,q3_2020,q4_2020,q1_2021,q2_2021,q3_2021,q4_2021,q1_2022,q2_2022,q3_2022,q4_2022,q1_2023,q2_2023,q3_2023,q4_2023,q1_2024,q2_2024,q3_2024,q4_2024,q1_2025
ACB,ACB,ACB,AAA,AAA,AAA,ACB,AAA,ACB,AAA,ACB,ACB,AAA,ABB,ACB,ACB,ABW,AAA,ACB,ACB
ANV,AGR,AGG,ACB,ACB,ABB,AGR,ACB,AGG,ABB,AGG,AGG,ABB,ACB,AGG,AGR,ACB,ABB,AGR,AGR
ASM,ANV,AGR,AGR,AGR,ACB,ANV,AGG,AGR,ACB,AGR,AGR,ACB,AGR,AGR,ANV,AGR,ACB,ANV,ANV
BCG,ASM,ANV,ANV,ANV,AGR,APG,AGR,ANV,AGG,ANV,ANV,AGR,ANV,ANV,APG,ANV,AGR,BAF,APH
BID,BCG,APG,ASM,BCG,ANV,BCG,ANV,ASM,AGR,ASM,APG,ANV,ASM,APG,ASM,APG,ANV,BCG,BAF
BMP,BFC,ASM,BCG,BFC,APG,BID,APG,BAF,ANV,BCG,BAF,APG,BCG,BCG,BAF,ASM,APH,BCM,BCG
BSR,BID,BCG,BID,BID,BCG,BMC,ASM,BCG,BAF,BCM,BCG,APH,BID,BID,BCG,BAF,BAF,BFC,BFC
C4G,BMP,BFC,BSI,BMC,BFC,BSI,BCG,BCM,BCG,BFC,BCM,BCG,BMP,BMC,BFC,BCG,BCG,BID,BID
CEO,BSR,BID,BSR,BSI,BID,BVS,BCM,BFC,BCM,BID,BID,BID,BOT,BMP,BID,BFC,BCM,BMC,BMC
CTD,BVS,BMP,BVS,BSR,BSI,C4G,BID,BID,BFC,BMC,BMP,BMP,BSI,BSI,BMP,BID,BFC,BMP,BMP
CTG,C4G,BVS,C4G,BVS,BSR,CEO,BVS,BMC,BID,BSI,BVS,BSI,BVS,BSR,BSI,BMC,BID,BSR,BSR
CTR,CEO,C4G,CEO,C4G,BVS,CKG,C4G,BOT,BSI,BVS,C4G,BSR,C4G,BVS,BVS,BOT,BMC,BVS,BVS
DBC,CMG,CEO,CKG,CEO,C4G,CMG,CEO,BVS,BSR,C4G,CEO,BVS,CEO,C4G,C4G,BSI,BMP,C4G,C4G
DCM,CSV,CMG,CMG,CMG,CEO,CRC,CII,C4G,BVS,CEO,CMG,C4G,CII,CEO,CEO,BVS,BSR,CEO,CEO
DGC,CTD,CMX,CRE,CRC,CKG,CRE,CKG,CEO,C4G,CII,CSV,CEO,CMX,CKG,CMG,C4G,BVS,CII,CMG
DGW,CTG,CSV,CSV,CSV,CMG,CSV,CMG,CII,CEO,CKG,CTG,CII,CSV,CMG,CSV,CEO,C4G,CKG,CRE
DIG,CTR,CTG,CTG,CTG,CRE,CTG,CMX,CMG,CMG,CRE,CTR,CKG,CTD,CMX,CTD,CII,CEO,CMG,CSV
DPG,CTS,CTR,CTR,CTR,CSV,CTR,CRE,CMX,CMX,CSV,CTS,CSV,CTG,CRC,CTG,CMG,CKG,CSV,CTD
DPM,DBC,CTS,CTS,CTS,CTG,CTS,CSV,CSV,CSV,CTD,DBC,CTD,CTR,CSV,CTR,CRC,CMG,CTG,CTG
DRC,DCM,D2D,DBC,DBC,CTR,DBC,CTD,CTG,CTD,CTG,DCM,CTG,CTS,CTD,CTS,CRE,CMX,CTR,CTR
DXG,DGC,DBC,DCM,DCM,CTS,DCM,CTG,CTR,CTG,CTR,DGC,CTR,DBC,CTG,DBC,CSV,CRC,CTS,CTS
EIB,DGW,DCM,DGC,DGC,DBC,DDV,CTR,CTS,CTR,CTS,DGW,CTS,DCM,CTR,DCM,CTG,CSV,DBC,DBC
FCN,DIG,DGC,DGW,DGW,DCM,DGC,CTS,DBC,CTS,DBC,DIG,DBC,DDV,CTS,DGC,CTR,CTD,DCM,DCM
FPT,DPG,DGW,DIG,DIG,DDV,DGT,DBC,DCM,D2D,DCM,DPG,DCM,DGC,D2D,DGW,CTS,CTG,DDV,DDV
FRT,DPM,DIG,DPG,DPG,DGC,DGW,DCM,DDV,DBC,DGC,DPM,DDV,DGW,DBC,DIG,DBC,CTR,DGC,DGC
GEX,DRC,DPG,DPM,DPM,DGW,DIG,DGC,DGC,DCM,DGW,DPR,DGC,DIG,DCM,DPG,DCM,CTS,DGT,DGW
GMD,DXG,DPM,DRC,DPR,DIG,DL1,DGW,DGW,DGC,DIG,DQC,DGW,DL1,DDV,DPM,DDV,D2D,DGW,DIG
GVR,EIB,DRC,DRI,DQC,DPG,DPG,DIG,DIG,DGW,DPG,DRC,DIG,DPG,DGC,DPR,DGC,DBC,DIG,DPG
HAG,FCN,DTD,DTD,DRC,DPM,DPM,DL1,DPG,DIG,DPM,DRI,DPG,DPM,DGW,DRC,DGW,DCM,DL1,DPM
HAX,FMC,DXG,DXG,DRI,DPR,DPR,DPG,DPM,DPG,DPR,DXG,DPM,DPR,DIG,DRI,DIG,DDV,DPG,DPR
HCM,FPT,EIB,EIB,DTD,DRC,DQC,DPM,DPR,DPM,DRC,DXS,DPR,DRC,DPG,DTD,DPG,DGC,DPM,DRC
HDB,FRT,ELC,ELC,DXG,DRI,DRC,DPR,DQC,DPR,DTD,EIB,DRC,DXG,DPM,DXG,DPM,DGT,DPR,DRI
HDC,FTS,EVF,EVF,EIB,DXG,DRI,DQC,DRC,DRC,DXG,ELC,DTD,DXS,DPR,DXS,DPR,DGW,DRC,DSE
HHS,G36,FCN,FCN,ELC,EIB,DXG,DRC,DRI,DRI,DXS,EVF,DXG,EIB,DQC,EIB,DRC,DIG,DRI,DTD
HNG,GEX,FMC,FPT,EVF,ELC,DXS,DRI,DXG,DXG,EIB,FCN,DXS,EVF,DRC,ELC,DRI,DL1,DTD,DXG
HPG,GIL,FPT,FRT,FCN,EVF,EIB,DTD,DXS,DXS,EVF,FPT,EIB,FCN,DXG,EVF,DXG,DPG,DXG,DXS
HQC,GMD,FRT,FTS,FPT,FCN,ELC,DXG,EIB,EIB,FCN,FRT,ELC,FPT,DXS,FCN,DXS,DPM,DXS,EIB
HSG,GVR,FTS,G36,FRT,FPT,EVF,DXS,EVF,ELC,FPT,FTS,EVF,FRT,EIB,FPT,EIB,DPR,EIB,ELC
HUT,HAG,G36,GEX,FTS,FRT,FCN,EIB,FCN,EVF,FRT,G36,FCN,FTS,ELC,FRT,EVF,DRC,ELC,EVF
HVH,HAX,GEX,GIL,G36,FTS,FMC,EVF,FMC,FCN,FTS,GEX,FPT,G36,EVF,FTS,FCN,DRI,EVF,FCN
IDI,HCM,GIL,GMD,GEX,G36,FPT,FCN,FPT,FMC,G36,GIL,FRT,GEX,FCN,G36,FMC,DTD,FCN,FOX
KBC,HDB,GMD,GVR,GIL,GEX,FRT,FPT,FRT,FPT,GEX,GMD,FTS,GIL,FMC,GDA,FOX,DXG,FOC,FPT
